model,vintage,sample,n_quarters,rmse,mae,bias
bridge_combination,1,full,85,7.266770375553193,2.9420422744417305,0.0963799960970629
bridge_combination,1,pre_covid,60,2.2249355213560915,1.6483321922832572,-0.3717073975281682
bridge_combination,1,ex_covid,79,2.3791026890975147,1.8085117884302675,-0.3351446694172289
bridge_INDPRO,1,full,0,,,
bridge_PAYEMS,1,full,0,,,
bridge_RSAFS,1,full,0,,,
bridge_UNRATE,1,full,0,,,
bridge_ICSA,1,full,0,,,
bridge_HOUST,1,full,0,,,
bridge_DGORDER,1,full,0,,,
bridge_UMCSENT,1,full,85,7.266770375553193,2.9420422744417305,0.0963799960970629
bridge_PCEPI,1,full,0,,,
bridge_T10Y2Y,1,full,0,,,
bridge_BAA10Y,1,full,0,,,
bridge_NASDAQCOM,1,full,0,,,
bridge_combination,2,full,85,5.202208166252173,2.099519128863496,0.31322066158970796
bridge_combination,2,pre_covid,60,1.8919936666975274,1.4408071369287525,-0.4523346613109792
bridge_combination,2,ex_covid,79,1.824172479635349,1.4089722623651009,-0.30648096274712966
bridge_INDPRO,2,full,85,3.9004678834306667,2.581332616265734,0.4928545966775164
bridge_PAYEMS,2,full,85,14.50289882361331,3.5309829446845824,1.173461445928369
bridge_RSAFS,2,full,85,6.508736169630689,2.4117232676280884,0.32358230413061634
bridge_UNRATE,2,full,84,12.193605173316186,3.5330216104311143,0.7222125022080155
bridge_ICSA,2,full,85,7.792868846066867,4.729254699569414,0.09471724078236704
bridge_HOUST,2,full,85,6.7618591576433635,3.3279145188595494,0.1955158334072314
bridge_DGORDER,2,full,85,6.767821129002971,3.695646789994658,0.4821748158107212
bridge_UMCSENT,2,full,85,7.24710438588579,2.928570719200139,0.2782566889391947
bridge_PCEPI,2,full,85,7.040115818732871,2.832006166861563,-0.12971950784098799
bridge_T10Y2Y,2,full,85,7.165362165477527,2.7303330638948413,0.14784258201201464
bridge_BAA10Y,2,full,85,7.286999903713104,2.7803172414313155,-0.008368277982579997
bridge_NASDAQCOM,2,full,85,7.261328917096348,2.698722101246446,0.005165933554110116
bridge_combination,3,full,85,5.662252635696156,2.313772214863378,0.005135962217411529
bridge_combination,3,pre_covid,60,1.8676135483307943,1.416743769453913,-0.49257760908258913
bridge_combination,3,ex_covid,79,1.8180141274504777,1.3934594398955782,-0.38558359078729715
bridge_INDPRO,3,full,85,4.4115800408856725,2.446431532763411,0.24349129326331398
bridge_PAYEMS,3,full,85,4.854186837224178,2.2702122914308114,0.06582748270422267
bridge_RSAFS,3,full,85,7.489739663662906,2.819921355635828,-0.09106559972154658
bridge_UNRATE,3,full,84,3.7158802888373845,2.099020573706153,-0.2164423872847564
bridge_ICSA,3,full,85,7.220787039384408,3.0776746911322066,-0.28784130838864563
bridge_HOUST,3,full,85,6.957300576044506,2.788744340975159,0.0982941519753922
bridge_DGORDER,3,full,85,6.776640103137869,2.8927916951233223,0.13759305315150552
bridge_UMCSENT,3,full,85,7.134555586417593,2.7589648407030785,0.1321760888423052
bridge_PCEPI,3,full,85,7.095259094138635,2.7883328052839347,-0.12544505466080103
bridge_T10Y2Y,3,full,85,7.19380743326991,2.764513711563451,0.05701750836481876
bridge_BAA10Y,3,full,85,7.351914315583244,2.736765929210016,0.04343054270246437
bridge_NASDAQCOM,3,full,85,7.276318882900963,2.6855746302030106,0.018021096223066874
