model,vintage,sample,n_quarters,rmse,mae,bias,dm_stat,dm_pval,dm_mean_diff
AR(p),all,full,85,8.16414120830415,3.425602273486886,0.54386873844868,,,
AR(p),all,pre_covid,60,2.467168013437737,1.7876481813344074,-0.3503730791017626,,,
AR(p),all,ex_covid,79,3.2051528938021594,2.0024314889165047,-0.0500490776651812,,,
RW,all,full,85,5.461500493074684,2.4020747956523842,-0.5141077576297619,1.176760163129827,0.23929124702694116,36.82521403327491
RW,all,pre_covid,60,2.4584085393838273,1.592518458963741,-0.656571302771205,0.03620444725902159,0.9711193399160457,0.04314546001498777
RW,all,ex_covid,79,2.3281285438049877,1.5656799025267096,-0.4832733784853486,1.0601814529482811,0.289062057195701,4.852822556168823
bridge_BAA10Y,1,full,0,,,,,,
bridge_BAA10Y,1,pre_covid,0,,,,,,
bridge_BAA10Y,1,ex_covid,0,,,,,,
bridge_BAA10Y,2,full,85,7.286999903713104,2.7803172414313155,-0.008368277982579997,1.4930347002470372,0.1354281038965128,13.552834072415152
bridge_BAA10Y,2,pre_covid,60,2.1748645319173407,1.5735021629817227,-0.5367864943363555,1.044330810028093,0.29633236296058496,1.3568822743382758
bridge_BAA10Y,2,ex_covid,79,2.136464339768283,1.6114313881468354,-0.39903232436461605,1.2655222377065638,0.2056841819431936,5.708525197546835
bridge_BAA10Y,3,full,85,7.351914315583244,2.736765929210016,0.04343054270246437,1.523812113188602,0.127555652756692,12.602557565452098
bridge_BAA10Y,3,pre_covid,60,2.088750687724904,1.5500704347564394,-0.4925044235718898,1.1768214768911378,0.23926676854020656,1.7240385710590522
bridge_BAA10Y,3,ex_covid,79,2.0225349189675663,1.546414973449707,-0.3447561847016685,1.3461189181500062,0.178264168441018,6.182357574205217
bridge_combination,1,full,85,7.266770375553193,2.9420422744417305,0.0963799960970629,1.436218345095057,0.15094022047566308,13.84724997811245
bridge_combination,1,pre_covid,60,2.2249355213560915,1.6483321922832572,-0.3717073975281682,1.411921749363331,0.1579730029570483,1.1365799323382075
bridge_combination,1,ex_covid,79,2.3791026890975147,1.8085117884302675,-0.3351446694172289,1.0786020390492885,0.2807651719457519,4.61287546737733
bridge_combination,2,full,85,5.202208166252173,2.099519128863496,0.31322066158970796,1.321354017442792,0.1863833505458118,39.59023186410914
bridge_combination,2,pre_covid,60,1.8919936666975274,1.4408071369287525,-0.4523346613109792,1.6849210291235244,0.09200380873155402,2.5072779717067575
bridge_combination,2,ex_covid,79,1.824172479635349,1.4089722623651009,-0.30648096274712966,1.4798363706262914,0.1389169198248839,6.94539983718938
bridge_combination,3,full,85,5.662252635696156,2.313772214863378,0.005135962217411529,1.3480550982702992,0.17764066182783744,34.59209675868188
bridge_combination,3,pre_covid,60,1.8676135483307943,1.416743769453913,-0.49257760908258913,1.788864922959492,0.07363657209191242,2.5989376406215703
bridge_combination,3,ex_covid,79,1.8180141274504777,1.3934594398955782,-0.38558359078729715,1.4919484545848967,0.13571265869163976,6.967829705038838
bridge_DGORDER,1,full,0,,,,,,
bridge_DGORDER,1,pre_covid,0,,,,,,
bridge_DGORDER,1,ex_covid,0,,,,,,
bridge_DGORDER,2,full,85,6.767821129002971,3.695646789994658,0.4821748158107212,0.889008843934182,0.3739983268039899,20.84979883495089
bridge_DGORDER,2,pre_covid,60,3.799714371360435,2.831346439456213,-0.17763027018316832,-2.6971697409088975,0.006993161376942511,-8.350911297392718
bridge_DGORDER,2,ex_covid,79,3.7682811006236525,2.84139598174106,0.16422165546893328,-0.6803120031598974,0.4963069258906,-3.926937380669043
bridge_DGORDER,3,full,85,6.776640103137869,2.8927916951233223,0.13759305315150552,1.305519752594075,0.19171592562110407,20.7303505816735
bridge_DGORDER,3,pre_covid,60,2.33959268716066,1.7830468496362228,-0.273686240711507,0.3140300467945495,0.7534982182046357,0.6132240647146721
bridge_DGORDER,3,ex_covid,79,2.3282392263569505,1.8072673563627117,-0.14543828007964152,0.9983717303405906,0.3180991365688376,4.852307177501148
bridge_HOUST,1,full,0,,,,,,
bridge_HOUST,1,pre_covid,0,,,,,,
bridge_HOUST,1,ex_covid,0,,,,,,
bridge_HOUST,2,full,85,6.7618591576433635,3.3279145188595494,0.1955158334072314,1.0921520712624468,0.27476626511284996,20.93046240132452
bridge_HOUST,2,pre_covid,60,3.262490751908038,2.4547398792282618,-0.461305674673465,-2.0251023082816997,0.04285685994419021,-4.556927899755165
bridge_HOUST,2,ex_covid,79,3.065917325789063,2.311975206785471,-0.2384623981511138,0.1820855911898777,0.8555155562707822,0.8731560240747963
bridge_HOUST,3,full,85,6.957300576044506,2.788744340975159,0.0982941519753922,1.4585535349974217,0.14468803028473534,18.249170363700713
bridge_HOUST,3,pre_covid,60,2.0678947787108837,1.5925730581180693,-0.42733564512828437,1.184947089461156,0.23603836741794648,1.8107291907105763
bridge_HOUST,3,ex_covid,79,2.0710128431000103,1.621422012673709,-0.32375121940291507,1.267690143323976,0.20490862611343807,5.98391087636317
bridge_ICSA,1,full,0,,,,,,
bridge_ICSA,1,pre_covid,0,,,,,,
