model,vintage,sample,n_quarters,rmse,mae,bias
midas_combination,1,full,85,5.210032098056815,2.383233906007256,-0.1924048145078936
midas_combination,1,pre_covid,60,2.105976961269239,1.502855449834684,-0.4367523988521296
midas_combination,1,ex_covid,79,2.148181472317111,1.5789195381683503,-0.3935017245826993
midas_INDPRO,1,full,85,4.156067960366411,2.5690054688488875,-0.077313352771437
midas_PAYEMS,1,full,85,4.040370946936244,2.294102009596163,-0.967440148652765
midas_RSAFS,1,full,85,5.116020807133656,2.554859059218973,-0.11027609453763933
midas_UNRATE,1,full,85,4.040866823343532,2.6451725542269036,-1.1481083190180401
midas_ICSA,1,full,85,7.413814187782158,4.9029489616913535,0.7215408713323936
midas_HOUST,1,full,85,6.64439360672663,3.456763277590784,0.04631769952710282
midas_DGORDER,1,full,85,6.412455187140703,3.4005782595166942,-0.6477308659409887
midas_UMCSENT,1,full,85,7.032186553578116,3.010936840589829,0.006295967312862881
midas_PCEPI,1,full,85,7.116869390438692,2.8240381891876174,-0.2660185633278231
midas_T10Y2Y,1,full,85,7.253556965059457,2.8126842501586915,-0.1903447918490555
midas_BAA10Y,1,full,85,6.830433294079718,2.9220397276271797,0.2821248049996825
midas_NASDAQCOM,1,full,85,6.997544397005375,2.746725649381737,0.04209501883098373
midas_combination,2,full,85,5.0283039300002725,2.09326459944791,0.20343186084664028
midas_combination,2,pre_covid,60,1.9291541432425938,1.4734431005128372,-0.519484250511359
midas_combination,2,ex_covid,79,1.8544797169107892,1.4406112724484648,-0.3846885868848383
midas_INDPRO,2,full,85,3.5326608947629046,2.421714268030091,0.36684257397576525
midas_PAYEMS,2,full,85,13.45702663189382,3.4199234120847337,0.9937395970893675
midas_RSAFS,2,full,85,5.543250749023523,2.381400733595045,0.12015148413139806
midas_UNRATE,2,full,85,12.064019597968743,3.530597757659811,0.7299355615766279
midas_ICSA,2,full,85,8.237449903150566,5.442327380790644,0.07464062950511993
midas_HOUST,2,full,85,6.4681555232640555,3.216498186047753,0.09500840332763401
midas_DGORDER,2,full,85,6.517374626363348,3.650018689678575,0.331245794770763
midas_UMCSENT,2,full,85,7.063454974418478,2.970854548227466,0.11025044703595781
midas_PCEPI,2,full,85,7.126126444809081,2.8814245305158663,-0.26634529513018607
midas_T10Y2Y,2,full,85,7.179357020469075,2.795106887393467,-0.041480602133090405
midas_BAA10Y,2,full,85,7.244106366033324,2.7811180854296005,-0.02613387940336476
midas_NASDAQCOM,2,full,85,7.246830220574527,2.7122217897112297,-0.0466723845863086
midas_combination,3,full,85,6.272946979006167,2.483573506987078,-0.2606157795866413
midas_combination,3,pre_covid,60,1.9270110637277533,1.4399332422295081,-0.5664630862657211
midas_combination,3,ex_covid,79,1.8764621452819377,1.4259783212263026,-0.45325284641164415
midas_INDPRO,3,full,85,4.647023997471294,2.447971875842747,-0.042225484409913874
midas_PAYEMS,3,full,85,8.683809127909747,2.7094962104799256,-1.3452939041040792
midas_RSAFS,3,full,85,7.773261954380205,3.044105463836295,-0.4996330930567842
midas_UNRATE,3,full,85,2.558406872448249,1.827027218433404,-0.41112742531197205
midas_ICSA,3,full,85,7.658341666139551,3.6652740037893197,-0.5092068958186808
midas_HOUST,3,full,85,6.668518945375393,2.721665474946877,0.010329622395426424
midas_DGORDER,3,full,85,6.639848092351169,2.904678996381991,-0.006974828721660429
midas_UMCSENT,3,full,85,7.025266249690328,2.9225818231846508,0.04646748163306787
midas_PCEPI,3,full,85,7.234015845015913,2.7871232570716513,-0.21561874849314472
midas_T10Y2Y,3,full,85,7.206782150035611,2.81523043365128,-0.0900782826423683
midas_BAA10Y,3,full,85,7.3844211765453664,2.8909107187971133,-0.02941677225697355
midas_NASDAQCOM,3,full,85,7.28231194808366,2.727570187747974,-0.034611024252609125
