model,vintage,sample,n_quarters,rmse,mae,bias
lasso,1,full,85,3.590750728341486,2.4514637826714716,-0.7739286042702855
lasso,1,pre_covid,60,2.357954054461856,1.6834712174764213,-0.31748076883546134
lasso,1,ex_covid,79,2.806981411444961,2.0584119001200953,-0.3339701546551851
elasticnet,1,full,85,3.5449187720755155,2.422486040445067,-0.7478295876917349
elasticnet,1,pre_covid,60,2.3083286284152065,1.645491220585829,-0.2947611132936148
elasticnet,1,ex_covid,79,2.7809211705236585,2.0346835663832783,-0.3122544102517405
lasso,2,full,85,8.929722535982242,2.7659500807424684,0.5911350762731955
lasso,2,pre_covid,60,2.1651172545526487,1.6739827504569997,-0.5971228384065993
lasso,2,ex_covid,79,2.0907981107021962,1.6252497899056333,-0.5170444238242664
elasticnet,2,full,85,8.742256239941641,2.7332949665920943,0.5816278290325646
elasticnet,2,pre_covid,60,2.0577671850661785,1.6639259029455475,-0.5792820561593931
elasticnet,2,ex_covid,79,2.002322702418964,1.6120513741905855,-0.5077493675972806
lasso,3,full,85,4.381266335129734,2.2565332342645488,-0.74099105740721
lasso,3,pre_covid,60,2.073975718201538,1.5305324290545932,-0.6558821701453013
lasso,3,ex_covid,79,2.1605358032886235,1.647371140461338,-0.6076689682728393
elasticnet,3,full,85,3.108688603932586,1.9932855142419275,-0.525498617931463
elasticnet,3,pre_covid,60,1.8999511969791254,1.4473633729844813,-0.6365187258670061
elasticnet,3,ex_covid,79,2.0354197499888556,1.583525159584879,-0.5946505189108243
