model,vintage,sample,n_quarters,rmse,mae,bias
lasso_covid,1,full,85,3.5555197869383237,2.445601262966699,-0.8630349392507971
lasso_covid,1,pre_covid,60,2.357954054461856,1.6834712174764213,-0.31748076883546134
lasso_covid,1,ex_covid,79,2.7445841932984405,2.0282168773693243,-0.3686455805277376
elasticnet_covid,1,full,85,3.4976297055849592,2.411660607630117,-0.8352090550763746
elasticnet_covid,1,pre_covid,60,2.3083286284152065,1.645491220585829,-0.2947611132936148
elasticnet_covid,1,ex_covid,79,2.7144790489973722,2.002196839087892,-0.3490860561571083
lasso_covid,2,full,85,8.909134805137219,2.6530460010866737,0.5289015495283502
lasso_covid,2,pre_covid,60,2.1651172545526487,1.6739827504569997,-0.5971228384065993
lasso_covid,2,ex_covid,79,2.030411608689326,1.5474450752210993,-0.5304248310517004
elasticnet_covid,2,full,85,8.72295476136909,2.6239309772047124,0.5216379298638304
elasticnet_covid,2,pre_covid,60,2.0577671850661785,1.6639259029455475,-0.5792820561593931
elasticnet_covid,2,ex_covid,79,1.9413449889339944,1.5366587038514323,-0.5192188421108028
lasso_covid,3,full,85,4.346439515443924,2.168437260574242,-0.8163156076259516
lasso_covid,3,pre_covid,60,2.073975718201538,1.5305324290545932,-0.6558821701453013
lasso_covid,3,ex_covid,79,2.138106577858561,1.5910037885482105,-0.6381974689564374
elasticnet_covid,3,full,85,3.062052499509563,1.9060922492510786,-0.598561872375049
elasticnet_covid,3,pre_covid,60,1.8999511969791254,1.4473633729844813,-0.6365187258670061
elasticnet_covid,3,ex_covid,79,2.0112446441647713,1.5278830676028001,-0.6232842810772409
